강남구,무,16%,비싸게 팝니다
강동구,무,1%,비싸게 팝니다
강북구,무,-16%,싸게 팝니다
강서구,무,1%,비싸게 팝니다
관악구,무,9%,비싸게 팝니다
광진구,무,2%,비싸게 팝니다
구로구,무,-10%,싸게 팝니다
금천구,무,-5%,싸게 팝니다
노원구,무,9%,비싸게 팝니다
도봉구,무,-4%,싸게 팝니다
동대문구,무,5%,비싸게 팝니다
동작구,무,17%,비싸게 팝니다
마포구,무,3%,비싸게 팝니다
서대문구,무,8%,비싸게 팝니다
서초구,무,-1%,싸게 팝니다
성동구,무,-4%,싸게 팝니다
성북구,무,-1%,싸게 팝니다
송파구,무,-5%,싸게 팝니다
양천구,무,1%,비싸게 팝니다
영등포구,무,-6%,싸게 팝니다
용산구,무,-2%,싸게 팝니다
은평구,무,-6%,싸게 팝니다
종로구,무,4%,비싸게 팝니다
중구,무,-2%,싸게 팝니다
중랑구,무,-1%,싸게 팝니다
강남구,배추,15%,비싸게 팝니다
강동구,배추,1%,비싸게 팝니다
강북구,배추,8%,비싸게 팝니다
강서구,배추,-2%,싸게 팝니다
관악구,배추,18%,비싸게 팝니다
광진구,배추,-5%,싸게 팝니다
구로구,배추,-4%,싸게 팝니다
금천구,배추,-12%,싸게 팝니다
노원구,배추,9%,비싸게 팝니다
도봉구,배추,-11%,싸게 팝니다
동대문구,배추,6%,비싸게 팝니다
동작구,배추,12%,비싸게 팝니다
마포구,배추,-4%,싸게 팝니다
서대문구,배추,10%,비싸게 팝니다
서초구,배추,-7%,싸게 팝니다
성북구,배추,-6%,싸게 팝니다
양천구,배추,-4%,싸게 팝니다
영등포구,배추,-10%,싸게 팝니다
용산구,배추,-9%,싸게 팝니다
은평구,배추,-2%,싸게 팝니다
종로구,배추,32%,비싸게 팝니다
중구,배추,1%,비싸게 팝니다
중랑구,배추,-8%,싸게 팝니다
강남구,상추,39%,비싸게 팝니다
강동구,상추,4%,비싸게 팝니다
강북구,상추,-15%,싸게 팝니다
강서구,상추,-14%,싸게 팝니다
관악구,상추,-18%,싸게 팝니다
광진구,상추,31%,비싸게 팝니다
구로구,상추,-13%,싸게 팝니다
금천구,상추,-14%,싸게 팝니다
노원구,상추,12%,비싸게 팝니다
도봉구,상추,-18%,싸게 팝니다
동대문구,상추,-14%,싸게 팝니다
동작구,상추,-24%,싸게 팝니다
마포구,상추,35%,비싸게 팝니다
서대문구,상추,-2%,싸게 팝니다
서초구,상추,26%,비싸게 팝니다
성동구,상추,-15%,싸게 팝니다
성북구,상추,-14%,싸게 팝니다
송파구,상추,2%,비싸게 팝니다
영등포구,상추,11%,비싸게 팝니다
용산구,상추,8%,비싸게 팝니다
은평구,상추,-18%,싸게 팝니다
종로구,상추,-23%,싸게 팝니다
중구,상추,13%,비싸게 팝니다
중랑구,상추,19%,비싸게 팝니다
강남구,양파,18%,비싸게 팝니다
강동구,양파,3%,비싸게 팝니다
강북구,양파,-2%,싸게 팝니다
강서구,양파,-4%,싸게 팝니다
관악구,양파,17%,비싸게 팝니다
광진구,양파,5%,비싸게 팝니다
금천구,양파,10%,비싸게 팝니다
노원구,양파,2%,비싸게 팝니다
도봉구,양파,-12%,싸게 팝니다
동대문구,양파,-24%,싸게 팝니다
동작구,양파,11%,비싸게 팝니다
마포구,양파,-1%,싸게 팝니다
서대문구,양파,4%,비싸게 팝니다
서초구,양파,-7%,싸게 팝니다
성동구,양파,-2%,싸게 팝니다
성북구,양파,-10%,싸게 팝니다
송파구,양파,4%,비싸게 팝니다
양천구,양파,-2%,싸게 팝니다
영등포구,양파,5%,비싸게 팝니다
용산구,양파,-7%,싸게 팝니다
은평구,양파,-7%,싸게 팝니다
종로구,양파,21%,비싸게 팝니다
중구,양파,-6%,싸게 팝니다
중랑구,양파,-8%,싸게 팝니다
강남구,오이,16%,비싸게 팝니다
강동구,오이,6%,비싸게 팝니다
강북구,오이,4%,비싸게 팝니다
강서구,오이,4%,비싸게 팝니다
관악구,오이,2%,비싸게 팝니다
광진구,오이,5%,비싸게 팝니다
구로구,오이,-12%,싸게 팝니다
금천구,오이,12%,비싸게 팝니다
노원구,오이,8%,비싸게 팝니다
도봉구,오이,-6%,싸게 팝니다
동대문구,오이,-8%,싸게 팝니다
동작구,오이,-9%,싸게 팝니다
마포구,오이,-8%,싸게 팝니다
서대문구,오이,-10%,싸게 팝니다
서초구,오이,-2%,싸게 팝니다
성동구,오이,-4%,싸게 팝니다
성북구,오이,-7%,싸게 팝니다
송파구,오이,8%,비싸게 팝니다
양천구,오이,-2%,싸게 팝니다
영등포구,오이,2%,비싸게 팝니다
용산구,오이,3%,비싸게 팝니다
은평구,오이,-4%,싸게 팝니다
종로구,오이,-23%,싸게 팝니다
중구,오이,7%,비싸게 팝니다
중랑구,오이,5%,비싸게 팝니다
