지역구,구분,장소,지역구분,주소,전화번호
강남구,마트,이마트역삼점,강남,서울 강남구 역삼로 310 이마트역삼점,02-6908-1234
서초구,마트,하나로클럽,강남,서울 서초구 청계산로 10 농협하나로클럽,02-3498-1100
송파구,마트,홈플러스,강남,서울 송파구 올림픽로35가길 16 홈플러스잠실점,02-3468-8000
강동구,마트,이마트 명일점,강동,서울 강동구 고덕로 276 신세계이마트명일점,02-2145-1234
강동구,마트,홈플러스 강동점,강동,서울 강동구 양재대로 1571 홈플러스강동점,02-3400-8000
광진구,마트,롯데마트 강변점,강동,서울 광진구 광나루로56길 85 테크노마트,02-3424-2500
광진구,마트,이마트 자양점,강동,서울 광진구 아차산로 272 이마트자양점,02-2024-1234
중랑구,마트,홈플러스 면목점,강동,서울 중랑구 동일로 540,02-437-2080
중랑구,마트,이마트 상봉점,강동,서울 중랑구 상봉로 118 이마트상봉점,02-490-1234
강북구,마트,하나로클럽 미아점,강북,서울 강북구 도봉로33길 18 성북프라자,02-980-5670
마포구,마트,홈플러스,강북,서울 마포구 월드컵로 240 (우)03932,02-312-2080
서대문구,마트,롯데슈퍼,강북,서울 서대문구 통일로 413 1층 101호 (우)03646,02-391-5601
성동구,마트,이마트_성수,강북,서울 성동구 뚝섬로 379 (우)04781,02-3408-1234
성동구,마트,이마트_왕십리,강북,서울 성동구 왕십리광장로 17 (우)04750,02-2200-1234
성북구,마트,이마트 미아점,강북,서울 성북구 도봉로 17 (우)02729,02-944-1234 
용산구,마트,농협하나로마트,강북,서울 용산구 청파로 122 (우)04371,02-2077-2800 
용산구,마트,이마트,강북,서울 용산구 한강대로23길 55 (우)04377,02-2012-1234
은평구,마트,이마트 은평점,강북,서울 은평구 은평로 111 (우)03461,02-380-1234
노원구,마트,홈플러스 중계점,강북,서울 노원구 동일로204가길 12 (우)01783,02-986-2080
도봉구,마트,이마트 창동점,강북,서울 도봉구 노해로65길 4 (우)01405,02-901-1234
도봉구,마트,홈플러스 방학점,강북,서울 도봉구 도봉로 678 (우)01334,02-912-2080
동대문구,마트,홈플러스 동대문점 ,강북,서울 동대문구 천호대로 133 (우)02565,02-2173-8000 
강서구,마트,홈플러스 등촌점,강서,서울 강서구 공항대로41길 56 진아빌딩,02-2658-8544
강서구,마트,이마트 가양점,강서,서울 강서구 양천로 559 가양이마트,02-2101-1234
관악구,마트,세이브마트,강서,서울 관악구 난곡로 220,1577-6522
구로구,마트,이마트 신도림점,강서,서울 구로구 새말로 97,02-6715-1234
금천구,마트,홈플러스_시흥,강서,서울 금천구 시흥대로 201 홈플러스시흥점,02-895-2080
금천구,마트,홈플러스_독산,강서,서울 금천구 시흥대로 391,02-890-8000
양천구,마트,홈플러스,강서,서울 양천구 목동서로 170 홈플러스목동점,02-2644-2080
양천구,마트,이마트,강서,서울 양천구 오목로 299 이마트목동점,02-6923-1234
영등포구,마트,홈플러스,강서,서울 영등포구 당산로 42 (우)07297,02-2165-8000
영등포구,마트,이마트,강서,"서울 영등포구 영중로 15 타임스퀘어 지하1,2층 (우)07305",02-3468-1234
강남구,시장,도곡시장,강남,서울 강남구 역삼동,
강남구,시장,청담삼익시장,강남,서울 강남구 학동로101길 26 (우)06077,02-549-4342
서초구,시장,방림시장,강남,서울 서초구 방배동,
송파구,시장,마천중앙시장,강남,서울 송파구 마천로45길 23,02-409-6500
강동구,시장,암사종합시장,강동,서울 강동구 상암로11길 25,02-442-1040
강동구,시장,둔촌역전통시장,강동,서울 강동구 성내동 450-54,02-6052-5657
광진구,시장,자양골목시장,강동,서울 광진구 자양동,
광진구,시장,노룬산골목시장,강동,서울 광진구 자양동 44-22,02-465-2103
중랑구,시장,우림시장,강동,서울 중랑구 망우로62길 52-4,02-436-3598
중랑구,시장,동원시장,강동,서울 중랑구 면목로74길 45 동원시장,02-496-7332
강북구,시장,숭인시장,강북,서울 강북구 도봉로 45 (우)01211,02-988-1430
강북구,시장,수유재래시장,강북,서울 강북구 수유동 55-7,02-987-6380
마포구,시장,망원시장,강북,서울 마포구 망원동 403-6,02-335-3591
마포구,시장,마포농산물시장,강북,서울 마포구 월드컵로 235 (우)03901,02-309-0419
서대문구,시장,영천시장,강북,서울 서대문구 영천동 268,02-364-1926
서대문구,시장,인왕시장,강북,서울 서대문구 인왕시장길 18 (우)03628,02-391-1307
성동구,시장,뚝도시장,강북,서울 성동구 성수동2가 336-2,02-464-4426
성동구,시장,금남시장,강북,서울 성동구 장터5길 2-15 (우)04730,02-2252-5302 
성북구,시장,돈암제일시장,강북,서울 성북구 동소문동5가 118-1,02-926-5133
성북구,시장,장위골목시장,강북,서울 성북구 화랑로19가길 20-24 (우)02769,070-7799-9129
용산구,시장,용문시장,강북,서울 용산구 효창원로40길 13 (우)04363,02-3275-0883
용산구,시장,후암시장,강북,서울 용산구 후암로35길 24 (우)04325,02-754-5114
은평구,시장,대조시장,강북,서울 은평구 불광로 13 (우)03396,02-382-5599
은평구,시장,대림시장,강북,서울 은평구 응암로4길 22 (우)03480,02-302-1666
종로구,시장,통인시장,강북,서울 종로구 자하문로15길 16 (우)03036,02-722-0911
종로구,시장,광장시장,강북,서울 종로구 창경궁로 88 (우)03195,02-2267-0291
중구,시장,남대문시장,강북,서울 중구 남대문시장4길 21 (우)04529,02-753-2805
노원구,시장,공릉도깨비시장,강북,서울 노원구 동일로180길 53 (우)01846,02-976-4143
노원구,시장,상계중앙시장,강북,서울 노원구 상계로27길 20 (우)01682,070-4141-1116 
도봉구,시장,신창시장,강북,서울 도봉구 덕릉로57길 17 (우)01471,02-990-0040
도봉구,시장,방학동 도깨비시장,강북,서울 도봉구 도당로13길 15 (우)01357,02-954-1225
동대문구,시장,청량리종합시장,강북,서울 동대문구 경동시장로 3-1,02-962-7100
동대문구,시장,경동시장,강북,서울 동대문구 왕산로 147 (우)02571,02-967-8721
강서구,시장,송화시장,강서,서울 강서구 강서로 263-29,02-2696-5225
강서구,시장,화곡본동시장,강서,서울 강서구 까치산로 35,02-2698-0779
관악구,시장,원당종합시장,강서,서울 관악구 남부순환로248길 35 인헌시장,02-888-0930
관악구,시장,신원시장(신림1동),강서,서울 관악구 신림동 1587-39,02-854-5453
관악구,시장,관악신사시장(신림4동),강서,서울 관악구 신림동 494,02-855-1994
구로구,시장,고척근린시장,강서,서울 구로구 고척로32길 11-3,02-2060-7504
구로구,시장,남구로시장,강서,서울 구로구 구로동로26길 54,02-855-8509
금천구,시장,현대시장,강서,서울 금천구 독산로41길 7,02-802-6495
금천구,시장,남문시장,강서,서울 금천구 시흥대로144길 17,02-868-9727
동작구,시장,남성시장,강서,서울 동작구 동작대로29길 8,02-536-3002
양천구,시장,목3동시장,강서,서울 양천구 목동중앙북로 29,02-2644-3238
영등포구,시장,대림중앙시장,강서,서울 영등포구 디지털로37나길 15 (우)07419,02-833-8113
영등포구,시장,영등포전통시장,강서,서울 영등포구 영등포동5가 33-29,0507-1336-1308
